case_id,sample_id,source_segment_prefix,source_volume_url,source_level,online_validation,annotation_arrays,validation_mask_present,ink_render_count,distinct_render_volume_count,distinct_model_count,candidate_status
pherc0139-w016,PHerc0139,PHerc0139/segments/20250108000004-w029_2025010827,https://vesuvius-challenge-open-data.s3.amazonaws.com/PHerc0139/segments/20250108000004-w029_2025010827/surface-volumes/2.399um-0.22m-78keV-volume-20260102150214.zarr,2,True,inklabels;supervision_mask;validation_mask,True,2,2,2,candidate_validation_registration_support_unverified
pherc0139-w017,PHerc0139,PHerc0139/segments/20250108000005-w030_2025010818,https://vesuvius-challenge-open-data.s3.amazonaws.com/PHerc0139/segments/20250108000005-w030_2025010818/surface-volumes/2.399um-0.22m-78keV-volume-20260102150214.zarr,2,False,inklabels;supervision_mask,False,2,2,2,candidate_dev_supervision_only
pherc0139-w028,PHerc0139,PHerc0139/segments/20260115000000-w044_2026011522,https://vesuvius-challenge-open-data.s3.amazonaws.com/PHerc0139/segments/20260115000000-w044_2026011522/surface-volumes/2.399um-0.22m-78keV-volume-20260102150214.zarr,2,False,inklabels;supervision_mask,False,2,2,2,candidate_dev_supervision_only
pherc0139-w029,PHerc0139,PHerc0139/segments/20260126000000-w045_2026012619,https://vesuvius-challenge-open-data.s3.amazonaws.com/PHerc0139/segments/20260126000000-w045_2026012619/surface-volumes/2.399um-0.22m-78keV-volume-20260102150214.zarr,2,False,inklabels;supervision_mask,False,2,2,2,candidate_dev_supervision_only
pherc0139-w035,PHerc0139,PHerc0139/segments/20260317000000-w035_2026031718,https://vesuvius-challenge-open-data.s3.amazonaws.com/PHerc0139/segments/20260317000000-w035_2026031718/surface-volumes/2.399um-0.22m-78keV-volume-20260102150214.zarr,2,False,inklabels;supervision_mask,False,2,2,2,candidate_dev_supervision_only
pherc0139-w039,PHerc0139,PHerc0139/segments/20260302000000-w039_2026030210,https://vesuvius-challenge-open-data.s3.amazonaws.com/PHerc0139/segments/20260302000000-w039_2026030210/surface-volumes/2.399um-0.22m-78keV-volume-20260102150214.zarr,2,False,inklabels;supervision_mask,False,2,2,2,candidate_dev_supervision_only
pherc0139-w040,PHerc0139,PHerc0139/segments/20250831000000-w040_2025083102,https://vesuvius-challenge-open-data.s3.amazonaws.com/PHerc0139/segments/20250831000000-w040_2025083102/surface-volumes/2.399um-0.22m-78keV-volume-20260102150214.zarr,2,False,inklabels;supervision_mask,False,2,2,2,candidate_dev_supervision_only
pherc0139-w041,PHerc0139,PHerc0139/segments/20260108000000-w041_2026010816,https://vesuvius-challenge-open-data.s3.amazonaws.com/PHerc0139/segments/20260108000000-w041_2026010816/surface-volumes/2.399um-0.22m-78keV-volume-20260102150214.zarr,2,False,inklabels;supervision_mask,False,2,2,2,candidate_dev_supervision_only
pherc0139-w043,PHerc0139,PHerc0139/segments/20260112000000-w043_2026011217,https://vesuvius-challenge-open-data.s3.amazonaws.com/PHerc0139/segments/20260112000000-w043_2026011217/surface-volumes/2.399um-0.22m-78keV-volume-20260102150214.zarr,2,False,inklabels;supervision_mask,False,2,2,2,candidate_dev_supervision_only
pherc0814-46527,PHerc0814,PHerc0814/segments/20260226000000-46527_2um_try2,https://vesuvius-challenge-open-data.s3.amazonaws.com/PHerc0814/segments/20260226000000-46527_2um_try2/surface-volumes/2.399um-0.22m-78keV-volume-20260309142202.zarr,2,True,inklabels;supervision_mask;validation_mask,True,2,2,2,candidate_validation_registration_support_unverified
